
MAME GP2X GAMELIST (1204 romsets)

Name      Description
mrdoy     "Mr. Do! (Yukidaruma)"
mrdofix   "Mr. Do! (bugfixed)"
dorunrun  "Mr. Do! Run Run"
docastle  "Mr. Do's Castle (set 1)"
docastl2  "Mr. Do's Castle (set 2)"
dowild    "Mr. Do's Wild Ride"
mrdu      "Mr. Du!"
mrlo      "Mr. Lo!"
mrtnt     "Mr. TNT"
mspacman  "Ms. Pac Man"
mbomberj  "Muscle Bomber Duo (Japan)"
mbomber   "Muscle Bomber Duo (World)"
mutnat    "Mutation Nation"
myhero    "My Hero"
mystston  "Mysterious Stones"
nam_1975  "NAM 1975"
nbajam    "NBA Jam"
narc      "Narc (rev 7.00)"
naughtyb  "Naughty Boy"
kuniokub  "Nekketsu Kouha Kunio Kun (Jap bootleg)"
nemesuk   "Nemesis (UK)"
nemesis   "Nemesis (hacked?)"
nemoj     "Nemo (Japan)"
nemo      "Nemo (World)"
neobombe  "Neo Bomberman"
neodrift  "Neo Drift Out - New Technology"
neogeo    "Neo Geo Bios"
neomrdo   "Neo Mr Do!"
turfmast  "Neo Turf Masters / Big Tournament Golf"
nrallyx   "New Rally X"
nibbler   "Nibbler (set 1)"
nibblera  "Nibbler (set 2)"
nitedrvr  "Night Driver"
ncombat   "Ninja Combat"
ncommand  "Ninja Commando"
gaiden    "Ninja Gaiden"
ninjak2a  "Ninja Kid II (alternate)"
ninjakd2  "Ninja Kid II"
ninjamas  "Ninja Master's"
nprinceb  "Ninja Princess (bootleg)"
nprinces  "Ninja Princess"
nomnlnd   "No Man´s Land"
nomnlndg  "No Man´s Land (Gotlieb)"
nova2001  "Nova 2001"
ogonsiro  "Ohgon no Siro"
omegrace  "Omega Race"
ragnagrd  "Operation Ragnagard / Shin Oh Ken"
outrun    "Out Run (set 1)"
outruna   "Out Run (set 2)"
outrunb   "Out Run (set 3)"
outzone   "Out Zone"
overtop   "Overtop"
ozmawars  "Ozma Wars"
p47j      "P-47 (Japan)"
p47       "P-47 (World)"
powj      "P.O.W. (Japan)"
pow       "P.O.W. (US)"
pacnpal   "Pac & Pal"
pacman    "Pac Man (Midway)"
namcopac  "Pac Man (Namco)"
pacmanjp  "Pac Man (Namco, alternate)"
pacmanbl  "Pac Man (bootleg on Pisces hardware)"
pacmod    "Pac Man (harder)"
pacplus   "Pac Man Plus"
paclandm  "Pac-Land (Midway)"
pacland   "Pac-Land (set 1)"
pacland2  "Pac-Land (set 2)"
pacland3  "Pac-Land (set 3)"
pandoras  "Pandora's Palace"
pang      "Pang (World)"
pangb     "Pang (bootleg)"
pang3     "Pang! 3 (Japan)"
panicbom  "Panic Bomber"
paperboy  "Paperboy"
passsht   "Passing Shot (2 Players)"
passshtb  "Passing Shot (2 Players) (bootleg)"
pengo     "Pengo (set 1)"
pengo2u   "Pengo (set 2 not encrypted)"
pengo2    "Pengo (set 2)"
pkunwarj  "Penguin-Kun Wars (Japan)"
pkunwar   "Penguin-Kun Wars (US)"
penta     "Penta"
pepper2   "Pepper II"
peterpak  "Peter Pack-Rat"
phantom2  "Phantom II"
phoenix   "Phoenix (Amstar)"
phoenixc  "Phoenix (IRECSA, G.G.I Corp)"
phoenix3  "Phoenix (T.P.N.)"
phoenixt  "Phoenix (Taito)"
pickin    "Pickin'"
pbaction  "Pinball Action (set 1)"
pbactio2  "Pinball Action (set 2)"
pingpong  "Ping Pong"
pballoon  "Pioneer Balloon"
piranha   "Piranha"
pisces    "Pisces"
pitfallu  "Pitfall II (not encrypted)"
pitfall2  "Pitfall II"
pleiadce  "Pleiads (Centuri)"
pleiads   "Pleiads (Tehkan)"
pnickj    "Pnickies (Japan)"
pcktgalb  "Pocket Gal (bootleg)"
pcktgal   "Pocket Gal"
polaris   "Polaris (set 1)"
polarisa  "Polaris (set 2)"
ponpoko   "Ponpoko"
pool      "Pool"
pootan    "Pootan"
pooyan    "Pooyan (Konami)"
pooyans   "Pooyan (Stern)"
popflame  "Pop Flamer"
popeyebl  "Popeye (bootleg)"
popeye    "Popeye"
portman   "Port Man"
potogold  "Pot of Gold"
pspikes   "Power Spikes (Korea)"
pspikes2  "Power Spikes 2"
prehislu  "Prehistoric Isle in 1930 (US)"
prehisle  "Prehistoric Isle in 1930 (World)"
psychic5  "Psychic 5"
psychos   "Psycho Soldier (set 1)"
psychosa  "Psycho Soldier (set 2)"
oscarj    "Psycho-Nics Oscar (Japan)"
oscar     "Psycho-Nics Oscar"
puckman   "Puck Man"
pulsar    "Pulsar"
pulstar   "Pulstar"
punchout  "Punch Out"
punishrj  "Punisher (Japan)"
punisher  "Punisher (World)"
punkshot  "Punk Shot"
pbobble   "Puzzle Bobble / Bust-A-Move"
puzzledp  "Puzzle de Pon"
joyjoy    "Puzzled / Joy Joy Kid"
pyros     "Pyros (US)"
qbertjp   "Q*Bert (Japan)"
qbert     "Q*Bert (US)"
qbertqub  "Q*Bert Qubes"
qix2      "Qix II (Tournament)"
qix       "Qix"
quantum1  "Quantum (rev 1)"
quantum   "Quantum (rev 2)"
quartet   "Quartet"
quartet2  "Quartet II"
qadj      "Quiz & Dragons (Japan)"
qad       "Quiz & Dragons (US)"
qwakprot  "Qwak (prototype)"
rf2       "RF2"
radarscp  "Radar Scope"
rainbowe  "Rainbow Islands (Extra)"
rainbow   "Rainbow Islands"
rallyx    "Rally X"
rampage   "Rampage"
rastsaga  "Rastan Saga"
rastan    "Rastan"
reactor   "Reactor"
realbou2  "Real Bout Fatal Fury 2 - The Newcomers"
rbffspec  "Real Bout Fatal Fury Special"
rbff1     "Real Bout Fatal Fury"
redalert  "Red Alert"
redbaron  "Red Baron"
regulusu  "Regulus (not encrypted)"
regulus   "Regulus"
renegade  "Renegade (US)"
rescue    "Rescue"
jedi      "Return of the Jedi"
ridhero   "Riding Hero"
